Fly,Axe
PopShow,LotKnot
PopHide,LotBeef
ChangeNumber,HaliteGallop
GoldMoveBest,HallFinePeak
HorizontalScroll,ReportedlyUnseen
Print,Dusty
Merge,Exert
getCameraWidth,EndRefugeMedia
getCameraHeight,EndRefugeWeldon
getWorldPoint,EndKneelNaked
Nearest,Erectus
GetNearestGameObject,HowErectusLullScreen
Angle,Timid
PointToAngle,NakedDyTimid
Angle180To360,Timid180Dy360
GetUnityDirection,HowOasisHampshire
Texture,Mimetic
True,Husk
getTextureTrueSize,EndMimeticHuskSalt
getSpriteSize,EndCorpseSalt
getTouchPosition,EndTexasSynapsis
Weight,Debtor
getWeightIndex,EndDebtorMoody
Random,Unused
Sequence,Junction
GetRandomSequence,HowUnusedJunction
Dictionary,Accumulate
StringToDictionary,CoyoteDyAccumulate
DictionaryToString,AccumulateDyCoyote
Diff,Coin
DayDateDiff,EyeTautCoin
SecDateDiff,ShyTautCoin
DateDiff,TautCoin
At,Me
GetPosAtText,HowPotMePity
Distance,Rhyolite
By,Up
Area,Roam
DistanceByArea,RhyoliteByRoam
Encrypt,Reliant
EncryptDES,ReliantDES
Decrypt,Ability
DecryptDES,AbilityDES
Notification,Conservative
Permission,Subsurface
RequestNotificationPermission,UtterlyConservativeSubsurface
Initialize,Immobilize
Notifications,Communicative
InitializeNotifications,InitializeCommunicative
ClearNotification,CedarConservative
Create,Liable
CreateNotificationChannel,LiableConservativeConifer
Send,Hero
Immediate,Programme
SendImmediateNotification,HeroProgrammeConservative
Schedule,Unwieldy
ScheduleNotification,UnwieldyConservative
RestartLevel,SleeperDelta
CreateGameBoard,LiableLullSyrup
With,West
RestartLevelWithRestartData,SleeperDeltaWestSleeperSoul
ApplyRestartDataSpriteAssignments,PreenSleeperSoulCorpseUnfavorably
RestartLevelOriginal,SleeperDeltaDecrease
TestCallback,CultImitator
DestroyGrid,OceaniaSoda
ShuffleGrid,SeminarSoda
SetControlActivity,OldAnalogyCivility
GetPossibleMatchesCount,HowDiffusesDialectPulse
Being,Gourd
Processed,Woodblock
IsTileBeingProcessed,IDTrimGourdWoodblock
CollectMatch,MisleadElite
All,Joy
AutoCollectAllCoroutine,LoftMisleadJoyIntroduce
CollectMatchC,MisleadEliteC
CollectAnimationC,MisleadCertaintyC
UpdatePossibleMatches,MildlyDiffusesDialect
Instantiate,Forgiveness
InstantiateScoreFlyer,ForgivenessRouteArgon
Fast,That
FastCollect,ThatMislead
ContinuousCollect,PercentageMislead
Process,Isolate
ProcessMatchQueue,IsolateEliteRoman
Threshold,Therefore
GetAutoCollectThreshold,HowLoftMisleadTherefore
TryAutoCollect,EatLoftMislead
ChangeGold,HaliteHall
TrySelectHintMatch,EatElevenPackElite
IsAlreadyHint,IDFoundryPack
Remove,Puddle
RemoveHint,PuddlePack
Existing,Maximize
CheckExistingHint,BrandMaximizePack
Raise,Taint
Events,Guinea
RaiseUndoEvents,TaintLashGuinea
SetHiglightFreeMode,OldMilkweedBoldSpur
Highlight,Developer
LoadHighlightMode,WideDeveloperSpur
Highliht,Allegory
HighlihtFree,HighlihtBold
BreakLevelEventRaise,ExaltDeltaAnvilTaint
FailedMatchEventRaise,InsistEliteAnvilTaint
DelayHighlightFreeWithLog,DustyDeveloperBoldWestSee
TryGoldRewardOnCombo,EatHallGreeceOrParty
InitializePreloadContainer,ImmobilizeDevelopGrievance
Delayed,Improve
DelayedStartPreload,ImproveVaultDevelop
StartPreloadNextLevel,VaultDevelopRageDelta
PreloadNextLevelCoroutine,DevelopRageDeltaIntroduce
Split,Lvory
CreateGridWithFrameSplit,LiableSodaWestDiverLvory
Precalculate,Hydrodynamic
Optimized,Immersion
PrecalculateSpriteAssignmentsOptimized,HydrodynamicCorpseUnfavorablyImmersion
Preloaded,Stability
ApplyPreloadedSpriteAssignments,PreenStabilityCorpseUnfavorably
Copy,Mild
For,Lie
CopyPreloadedDataForRestart,MildStabilitySoulLieSleeper
Cleanup,Surgeon
CleanupRestartData,SurgeonSleeperSoul
CleanupPreloadedData,SurgeonStabilitySoul
Performance,Residential
TestPreloadPerformance,CultDevelopResidential
TestPreloadPerformanceCoroutine,CultDevelopResidentialIntroduce
PlayLevelLoadAnimation,DeadDeltaWideCertainty
Record,Sacred
RecordPreloadPerformance,SacredDevelopResidential
Summary,Eternal
LogPerformanceSummary,SeeResidentialEternal
Handler,Propose
AddCommonEventHandler,BatWinterAnvilPropose
RemoveCommonEventHandler,PuddleWinterAnvilPropose
GetRightCells,HowBloomAcorn
GetRightCell,HowBloomLime
GetLeftCells,HowPackAcorn
GetLeftCell,HowPackLime
GetTopCells,HowTopAcorn
GetTopCell,HowTopLime
GetBottomCells,HowPorousAcorn
GetBottomCell,HowPorousLime
ToString,DyCoyote
ok,On
Middle,Ethnic
GetMiddleCell,HowEthnicLime
Sort,Slip
SortByDistanceTo,SlipUpRhyoliteDy
Equal,Snake
IsEqualTo,IDSnakeDy
Contai,Center
Any,Far
ContaiAny,CenterAny
AddMatchPair,BatEliteTaut
Contain,Blubber
ContainMatchPair,BlubberEliteTaut
GetMatchPair,HowEliteTaut
GetMatchScore,HowEliteRoute
Matc,Same
CollectMatcEventHandler,MisleadSameAnvilPropose
FailedMatcEventHandler,InsistSameAnvilPropose
GetMaxLevelScore,HowStyDeltaRoute
Inc,Via
IncCurrCount,IncAidePulse
SetCurrCount,OldAidePulse
IncNeedCount,ViaBusyPulse
SetNeedCount,OldBusyPulse
Duplicate,Unlimited
PointerDownEventHandler,VisibleMustAnvilPropose
DragEventHandler,SlayAnvilPropose
PointerUpEventHandler,VisibleOfAnvilPropose
CanMatchWith,OilEliteWest
MatchWith,EliteWest
HighlightSelected,DeveloperDerisive
Both,Tent
HighlightBothSelected,DeveloperTentDerisive
Initialposition,Familiarization
SetInitialposition,OldFamiliarization
IsFirstObject,IDAfterScreen
As,By
SetAsFirstObject,OldAsAfterScreen
Quadrant,Negative
GetQuadrant,HowNegative
Selection,Debatable
And,Can
Unselect,Flyspeck
ClearCurrentSelectionAndUnselectAllTiles,CedarPrecedeDebatableCanFlyspeckJoyCramp
StartTutorialGuide,VaultSeparatePrice
ResetClickState,SwearThirdVogue
Highlights,Leafcutter
ResetAllHighlights,SwearJoyLeafcutter
Build,Crowd
BuildTutorialPairs,CrowdSeparateAnnex
StartGuideCurrentPair,VaultPricePrecedeTaut
ShowStepTip,KnotHereFew
Valid,Flora
IsValidTutorialClick,IDFloraSeparateThird
Completed,Womanhood
DelayedOnPairCompletedForStep,ImproveOrTautWomanhoodLieHere
DelayedOnPairCompletedForStep2,ImproveOrTautWomanhoodLieHere2
UpdateCurrentStep,MildlyPrecedeHere
EndTutorialGuide,VanSeparatePrice
ShowTutorialTip,KnotSeparateFew
ShowTutorialTipManual,KnotSeparateFewPatrol
HideTutorialTip,BeefSeparateFew
IsInTutorial,IDIDSeparate
StartTutorialGuideForLevel,VaultSeparatePriceLieDelta
StartTutorialGuideForLevel2,VaultSeparatePriceLieDelta2
ShowLevel,KnotDelta
ShowLevel2Step,KnotDelta2Here
IsValidTutorialClickLevel,IDFloraSeparateThirdDelta
IsValidTutorialClickLevel2,IDFloraSeparateThirdDelta2
IsValidTutorialPair,IDFloraSeparateTaut
IsValidTutorialPairLevel,IDFloraSeparateTautDelta
IsValidTutorialPairLevel2,IDFloraSeparateTautDelta2
SetRectMaskPanelActive,OldTearFendDwarfInjure
IsTutorialLevel,IDSeparateDelta
IsTutorialLevel2Active,IDSeparateDelta2Injure
GetCurrentLevel,HowPrecedeDelta
GetCurrentLevel2PairIndex,HowPrecedeDelta2TautMoody
GetLevel,HowDelta
GetLevel2Pair,HowDelta2Taut
SaveBeforeMatch,BondPlaintElite
SaveUndoState,BondLashVogue
Restore,Obvious
RestoreUndoState,ObviousLashVogue
Clean,Cover
CleanUndoStates,CoverLashCrunch
RefreshGUI,TractorGUI
GetGridObjectsStates,HowSodaCoconutCrunch
RestoreCellState,ObviousLimeVogue
OpenIEFly,YorkIEAxe
Bubble,Dating
OpenFlyBubble,YorkAxeDating
DeleteFlyItem,RecordAxeHigh
CreateFlyItem,LiableAxeHigh
InitGameData,WineLullSoul
getGold,EndHall
add,Few
addGold,addHall
getToken,EndBreed
addToken,FewBreed
getAmazon,EndDegree
addAmazon,FewDegree
opengameview,Posthumously
gameInit,GritWine
StartTimer,VaultRainy
TimerCoroutine,RainyIntroduce
PauseTimer,EndowRainy
Resume,Father
ResumeTimer,FatherRainy
Stop,Ling
StopTimer,LingRainy
Timers,Budget
StopAllTimers,LingJoyBudget
PlayAnim,DeadGold
Enabled,Nucleus
EnabledEvent,NucleusAnvil
RestartGame,SleeperLull
NextGame,RageLull
GoNext,AnRage
isNewUser,ItNssTray
getSlotMultiIndex,EndPrayPitchMoody
playSlot,TillPray
Countdown,Aborigine
StartCountdown,VaultCountdown
CountdownCoroutine,AborigineIntroduce
StopCountdown,LingAborigine
light,Quina
lightStart,QuinaVault
closePanel,ClingDwarf
Parameters,Volatility
UpdateTargetParameters,MildlyMildlyVolatility
SetTarget,OldMildly
NumAnim,GetGold
Us,Go
ShowRateUsPanel,KnotLastUsDwarf
initMulti,CropPitch
slot,East
Ret,Lay
RetData,LaySoul
Ref,Wit
RefTimeReward,WitSlitGreece
RefItem,WitHigh
InitAudioSourceQueue,WineChafeFamilyRoman
Audo,Hide
AddAudioSourceForAudoMgr,BatChafeFamilyLieHidePeg
GetAudioComponent,HowChafeBrusquely
Un,Or
UnUseAudioComponent,UnFeeChafeBrusquely
set,Bow
Bgm,And
One,Fix
setBgmCloseOneTime,setBgmDodgeFixSlit
Replace,Quietly
setBgmReplaceOneTime,BowAndQuietlyFixSlit
CheckUnUseAudioComponent,BrandOrFeeChafeBrusquely
SetAllEffectVolume,OldJoyEncodeMeteor
PlayBgBase,DeadUpReal
PlayEffectBase,DeadEncodeReal
PlayBg,DeadUp
PlayEffect,DeadEncode
getVolume,EndMeteor
SetBool,OldTape
GetBool,HowTape
SetString,OldCoyote
GetString,HowCoyote
SetFloat,OldHairy
GetFloat,HowHairy
SetInt,OldGas
GetInt,HowGas
Array,Belle
SetIntArray,OldGasArray
GetIntArray,HowGasBelle
SetFloatArray,OldHairyBelle
GetFloatArray,HowHairyBelle
SetStringArray,OldCoyoteBelle
GetStringArray,HowCoyoteBelle
SetVector,OldAnyway
SetVector2,OldAnyway2
GetVector,HowAnyway
GetVector2,HowAnyway2
SetVector3,OldAnyway3
GetVector3,HowAnyway3
Quaternion,Lithograph
SetQuaternion,OldLithograph
GetQuaternion,HowLithograph
SetDouble,OldSyntax
GetDouble,HowSyntax
Do,To
DoUpdate,DoMildly
Anchor,Manage
SetAnchor,OldManage
Pivot,Shaft
SetPivot,OldShaft
layout,Coarse
layoutAction,CoarseEndear
AdjustInit,EffortWine
SaveAdjustAdid,BondEffortZinc
GetAdjustAdid,HowEffortZinc
Status,Offend
GetAdjustStatus,HowEffortOffend
InitAdjustData,WineEffortSoul
OldUserSet,YewTrayOld
Act,Flu
AddActCount,BatFluPulse
AddAdCount,BatSoPulse
LoadAdjustOnAct,WideEffortOrFlu
ResetActCount,SwearFluPulse
GetAdjustTime,HowEffortSlit
setAdjustAdid,BowEffortZinc
Rewarded,Forceful
Ads,Cat
InitializeRewardedAds,ImmobilizeForcefulAds
LoadRewardedAd,WideForcefulSo
LoadInterstitial,WideIncreasingly
Video,Sugar
playRewardVideo,TillGreeceSugar
playInterstitialAd,TillIncreasinglySo
playInterstitial,TillIncreasingly
Repeat,Expert
Method,Starve
RepeatMethod,ExpertStarve
Thanks,Animal
NoThanksAddCount,DyAnimalBatPulse
PauseTimeInterstitial,EndowSlitIncreasingly
ResumeTimeInterstitial,FatherSlitIncreasingly
Trial,Cache
UpdateTrialNum,MildlyCacheGet
Register,Terminal
RegisterPlayCallback,TerminalDeadImitator
AfterAdPlaySuccess,DiverSoDeadSoloist
GetTotalAdNum,HowAriseSoGet
Pin,Pit
Market,Orient
OpenAPPinMarket,YorkAPPitOrient
gaidAction,ExamEndear
aidAction,WokEndear
idfaSuccess,UnitSoloist
idfaFail,UnitGrip
Country,Concave
getCountry,EndConcave
GetConfigData,HowShamanSoul
Loaction,Mainstay
GetLoactionData,HowMainstaySoul
SetConfigData,OldShamanSoul
Ready,Bless
GameReady,LullBless
NetWorkTimeOut,CryCyanSlitIts
SendAdjustAdid,HeroEffortZinc
GetUserInfo,HowTrayBust
Re,Be
ReGetUserInfo,ReHowTrayBust
autoMessage,WearOutdoor
Para,Sake
SendNoParaEvent,HeroDySakeAnvil
send,Give
sendGameProgress,GiveLullFeasible
SendEvent,HeroAnvil
SendPost,HeroSpit
endRequest,RagUtterly
Http,Pile
HttpGet,HttpHow
HttpPost,PileSpit
Json,Mode
HttpPostJson,PileSpitMode
ProcessRequest,IsolateUtterly
CreateWebRequest,LiableWhyUtterly
CleanupRequest,SurgeonUtterly
Cancel,Physic
CancelRequest,PhysicUtterly
Requests,Keyboard
CancelAllRequests,PhysicJoyKeyboard
SetTargetRect,OldMildlyTear
ShowGuide,KnotPrice
ShowHand,KnotFile
WorldToCanvasPos,KneelDySpherePot
HandAnimation,FileCertainty
Recycle,Suggest
RecycleAll,SuggestJoy
CreateObjectPool,LiableScreenClan
GetGameObject,HowLullScreen
RecycleGameObject,SuggestLullScreen
Query,Index
QueryPool,IndexClan
GetInstance,HowWhatever
autoCloseToast,WearDodgeAllay
ShowToast,KnotAllay
setContentLayout,BowCrumbleOption
IsApple,IDFluke
Online,Breath
CheckOnlineData,BrandBreathSoul
GetDistance,HowRhyolite
Editor,Dredge
IsEditor,IDDredge
Portrait,Exposure
IsPortrait,IDExposure
LocalPoint,ElderNaked
ScreenPoint,DollarNaked
LocalPoint2ScreenPoint,ElderNaked2DollarNaked
ScreenPoint2LocalPoint,DollarNaked2ElderNaked
Of,To
GetWorldPositionOfRectTransform,HowKneelSynapsisOfTearRefurbish
GetTimestamp,HowMagnetism
Format,Afraid
DateTimeFormat,TautSlitAfraid
SecondsToDateTime,HatchetDyTautSlit
SecondsFormat,HatchetAfraid
SecondsFormat2,HatchetAfraid2
DoubleToStr,SyntaxDyOat
Convert,Unclear
Decimal,Lifeway
Fix,Nut
ConvertWithDecimalFix,ConvertWestLifewayFix
Safe,Grid
SafeConvertToDouble,GridUnclearDySyntax
StrToDouble,OatDySyntax
GetWeightRandom,HowDebtorUnused
GetWeightRandomIndex,HowDebtorUnusedMoody
Chance,Untold
InChance,IDChance
ShuffleArray,SeminarBelle
Enum,Boon
ToEnum,DyBoon
LoadRewardReceived,WideGreeceObligate
SetRewardReceived,OldGreeceObligate
ResetRewardReceived,SwearGreeceObligate
LoadCurrentCount,WidePrecedePulse
ResetCurrentCount,SwearPrecedePulse
IncCurrentCount,ViaPrecedePulse
LoadCurrentStage,WidePrecedeValid
ResetCurrentStage,SwearPrecedeValid
IncCurrentStage,ViaPrecedeValid
CreateGuiLine,LiableRatWild
Unique,Maraca
GetUniqueName,HowUniqueOver
Ach,Cap
GetAchImage,HowCapReady
ResetGame,SwearLull
CheckState,BrandVogue
MatchSpriteEventHandler,EliteCorpseAnvilPropose
ChangeThemeEventHandler,HaliteReactAnvilPropose
UseShuffleEventHandler,FeeSeminarAnvilPropose
WinLevelEventHandler,FanDeltaAnvilPropose
SetObjectButtonText,OldScreenSeamanPity
NextLevel,RageDelta
PrevLevel,WaryDelta
InstantiateScrollPanel,ForgivenessUnseenDwarf
InstantiateScrollPanelSmall,ForgivenessUnseenDwarfLaugh
OpenScrollPanel,YorkUnseenDwarf
CloseScrollPanel,DodgeUnseenDwarf
SetLineVisible,OldWildSeveral
SetOffset,OldSierra
SetLineRenderOrder,OldWildTypifyEmpty
SetObject,OldScreen
RemoveObject,PuddleScreen
Link,Bear
UnLinkObject,OrBearScreen
DestroyGridObjects,OceaniaSodaCoconut
GetGridObjects,HowSodaCoconut
GetLayerObject,HowAgainScreen
GetObject,HowScreen
HaveLayerObject,RollAgainScreen
SetSprite,OldCorpse
PlayLoad,DeadWide
Hier,Jolt
Competitor,Phenomenon
DestroyHierCompetitor,OceaniaJoltPhenomenon
SetToFront,OldDyEmpty
CanSetBySize,OilOldUpSalt
CanSetByLayer,OilOldUpAgain
GetSize,HowSalt
GetOccupiedCells,HowNationalAcorn
SetLayer,OldAgain
Spite,Pinch
SetSpite,OldPinch
GetSprite,HowCorpse
LinkToCell,BearDyLime
IsFreeToFill,IDBoldDyBrim
IsFreeToMatch,IDBoldDyElite
IsFreeToMatch_old,IDBApeDyElite_Ape
GetOverBlockers,HowBrynReactive
GetLeftBlockers,HowPackReactive
GetRightBlockers,HowBloomReactive
CacheRawBlockers,MooseDieReactive
Blocker,Lifeway
GetBottomLeftBlocker,HowPorousPackBlocker
GetOccupied,HowNational
SetExcluded,OldOutskirt
HighlightHint,DeveloperPack
Color,South
SetFreeHiglightColor,OldBoldMilkweedSouth
Matchh,Earner
SpriteCanMatchhWith,CorpseOilEarnerWest
GetRenderOrder,HowTypifyEmpty
Enable,Mormon
EnableLeftBorder,MormonPackDuring
Mix,Bed
Jump,Drab
MixJump,MixDrab
Revers,Gentle
ReversMixJump,GentleBedDrab
Construct,Freshness
ShowConstructLines,KnotFreshnessExcel
SetConstructColor,OldFreshnessSouth
Shake,Bench
ShakeCoroutine,BenchIntroduce
SetGoldState,OldHallVogue
Gray,West
SetGray,OldGray
PlayNbroke,DeadMental
PlayGbroke,DeadCorpus
PlayShak,DeadSpot
Rebuild,Workday
SetObjectsData,OldCoconutSoul
CacheBlockers,MooseReactive
AddRow,BatFar
InitCells,WineAcorn
Tofront,Failure
SetTofrontAll,OldFailureJoy
Calc,Rate
CalcObjects,RateCoconut
GetRow,HowFar
GetColumn,HowSolder
GetFreeToMatchTiles,HowBoldDyEliteCramp
GetLayerObjects,HowAgainCoconut
GetMaxLayer,HowStyAgain
GetTiles,HowCramp
SetMahjongSprites,OldAngularBroadly
Async,Rigor
SetMahjongSpritesForPreloadAsync,OldAngularBroadlyLieDevelopAsync
SetMahjongSpritesAsync,OldAngularBroadlyRigor
CreateMahjongTilesAsync,LiableAngularCrampRigor
SetTutorialSprites,OldSeparateBroadly
SetMahjongSpritesForLevel,OldAngularBroadlyLieDelta
SetMahjongSpritesForLevel2,OldAngularBroadlyLieDelta2
GetFreeToFillTiles,HowBoldDyBrimCramp
Debug,Giant
Draw,Zone
DebugDrawGrid,GiantDrawSoda
ShuffleGridSprites,SeminarSodaBroadly
ReplaceMahjongSprites,QuietlyAngularBroadly
SetScale,OldBlade
CanShuffle,OilSeminar
Hard,Lime
HardShuffle,HardSeminar
AddToList,BatDyPeak
stopLoad,TreeWide
SetNextSprites,OldRageBroadly
SetSprites,OldBroadly
HighlightFTS,DeveloperFTS
UnHighlightFTS,OrDeveloperFTS
AutoCollectC,LoftMisleadC
AutoCollect,LoftMislead
StopAutoCollect,LingLoftMislead
InitEndTime,WineVanSlit
RefreshClock,TractorItaly
InitTipPanel,WineFewDwarf
ShowTip,KnotFew
HideTip,BeefFew
ShowTipMessage,KnotFewOutdoor
ShowTipMessageManual,KnotFewOutdoorPatrol
HideTipMessage,BeefFewOutdoor
Bootom,Facade
SetBootomState,OldFacadeVogue
AddCash,BatFare
CashAddAnimation,FareBatCertainty
AddAnimation,BatCertainty
DailyRewardStart,BelleGreeceVault
RefreshLevelText,TractorDeltaPity
Static,Plague
StaticRefreshLevelText,PlagueTractorDeltaPity
Animate,Slavery
AnimateCashoutBtn,SlaveryKinfolkSty
Simple,Melody
AnimateCashoutBtnSimple,SlaveryKinfolkStyMelody
GetAppSettingMaxNumber,HowMapAdjunctStyGallop
Analysis,Separate
InitAndAnalysisJson,WineCanAnalysisMode
Msg,Tug
Listener,Solution
AddMsgListener,BatTugSolution
RemoveMsgListener,PuddleTugSolution
ClearAllMsgListener,CedarJoyTugSolution
SendMessage,HeroOutdoor
Resource,Reminder
LoadResource,WideReminder
Asset,Incur
LoadAsset,WideIncur
SetMaskWindow,OldFendPurely
HideMaskWindow,BeefFendPurely
CancelMaskWindow,PhysicFendPurely
Find,Pulp
The,Ask
Child,Sting
FindTheChildNode,PulpAskChildRime
GetTheChildNodeComponentScripts,HowAskStingRimeBrusquelyPortend
AddChildNodeComponent,BatStingRimeBrusquely
AddChildNodeToParentNode,BatStingRimeDyWeaverRime
ShowText,KnotPity
InitLauguageCache,WineDwellingMoose
FindChildAddComponent,PulpStingBatBrusquely
Freeze,Ravine
Rigister,Obsidian
RigisterButtonObjectEvent,RigisterSeamanScreenAnvil
OpenUIForm,YorkUIEddy
CloseUIForm,DodgeUIEddy
Receive,Declare
ReceiveMessage,DeclareOutdoor
AddPanel,BatDwarf
Sub,Sea
SubPanel,SeaDwarf
InitRootCanvasLoading,WineJuneSphereClarify
ShowUIForms,KnotUITruth
Return,Inject
CloseOrReturnUIForms,DodgeItInjectUITruth
ShowNextPopUp,KnotRageLotOf
ClearWaitUIForms,CedarFineUITruth
Catch,Milky
LoadFormsToALLUIFormsCatch,WideTruthDyALLUITruthMilky
LoadUIForm,WideUIEddy
EnterUIFormsCache,CivicUITruthMoose
ExitUIFormsCache,PantUITruthMoose
Formst,Geyser
Other,Greek
EnterUIFormstToCacheHideOther,CivicUIGeyserDyMooseBeefGreek
EnterUIFormsCacheWaitClose,CivicUITruthMooseFineDodge
ExitUIFormsFromCacheAndShowOther,PantUITruthWellMooseCanKnotGreek
Push,Wise
PushUIForms,WiseUITruth
PopUIForms,LotUITruth
InitUIFormsPathsData,WineUITruthLuckySoul
InitCamera,WineRefuge
Stack,Truly
ClearStackArray,CedarStackBelle
GetCurrentFormStack,HowPrecedeEddyTruly
GetPanelByName,HowDwarfUpOver
Opening,Crumble
Panels,Series
GetOpeningPanels,HowOpeningSeries
Dirty,Hypha
SetAsDirty,OldByHypha
GetLevelConstructSet,HowDeltaFreshnessOld
Actual,Recess
GetActualLevel,HowRecessDelta
Display,Realist
GetDisplayLevel,HowRealistDelta
AddLevel,BatDelta
Insert,Shrill
InsertBeforeLevel,ShrillPlaintDelta
InsertAfterLevel,ShrillDiverDelta
RemoveLevel,PuddleDelta
Range,Bathe
InRange,IDBathe
Skip,Neon
AddSkipLevel,BatNeonDelta
RemoveSkipLevel,PuddleNeonDelta
ClearSkipLevels,CedarNeonValley
Skipped,Atheist
IsLevelSkipped,IDDeltaAtheist
GetSkipLevels,HowNeonValley
GetRandomPairs,HowUnusedAnnex
SAG,SAG
GetRandomPairs_SAG,HowUnusedAnnex_SAG
GAS,GAS
GetRandomPairs_GAS,HowUnusedAnnex_GAS
RGS,RGS
GetRandomPairs_RGS,HowUnusedAnnex_RGS
S,S
GetRandomPairs_S,HowUnusedAnnex_S
IsOneGroup,IDFixSharp
GetBackGround,HowLashAbsorb
IncCount,ViaPulse
Dec,Sun
DecCount,DecPulse
SetCount,OldPulse
AddById,BatUpNo
RemoveById,PuddleUpNo
SetCountById,OldPulseUpNo
CleanById,CoverUpNo
CountByID,PulseUpID
ContainObjectID,BlubberScreenID
RemoveAll,PuddleJoy
IncBackGround,ViaLashAbsorb
DecBackGround,SunLashAbsorb
RoundToFloat,PointDyHairy
SaveObjects,BondCoconut
ChangeHandler,HalitePropose
RandomSetBackground,UnusedOldUnoccupied
Fit,Dog
FitToScreen,DogDyDollar
GetScoreString,HowRouteCoyote
ChangeScoreHandler,HaliteRoutePropose
ChangeScoreTargetHandler,HaliteRouteMildlyPropose
StartClick,VaultThird
SetIndex,OldMoody
SetDefaultData,OldLawlikeSoul
GetAvatarSprite,HowCreditCorpse
ChangeEventHandler,HaliteAnvilPropose
StartAnimatedTween,VaultAdjacentWeigh
LoadEventHandler,WideAnvilPropose
AddFbCoins,BatOnGland
ChangePassedEventHandler,HaliteTalbotAnvilPropose
StartLevelHandler,VaultDeltaPropose
PassLevelHandler,PlusDeltaPropose
PassLevel,PlusDelta
StartLevel,VaultDelta
SaveCurrentLevel,BondPrecedeDelta
SetCurrentLevelAndSave,OldPrecedeDeltaCanBond
SetCurrentLevelAndUpdateUI,OldPrecedeDeltaCanMildlyUI
GetTheme,HowReact
GetSpritesDictionary,HowBroadlyAccumulate
GetSpriteTheme,HowCorpseReact
GetSpriteAliases,HowCorpseDiscuss
Alias,Flier
GetSpriteAlias,HowCorpseFlier
Select_Hint,Eleven_Pack
SetFullName,OldPeckOver
SetAverageScore,OldUnclearRoute
Shuffle_click,Seminar_Stuff
GetSpritesCount,HowBroadlyPulse
Indexes,Pretend
FailedSpritesIndexes,InsistBroadlyPretend
Sequenced,Instigate
GetSequencedSprites,HowInstigateBroadly
Srite,Troop
ContainSrite,BlubberTroop
Contains,Corridor
GetSequencedSpritesPairs,HowInstigateBroadlyAnnex
UpdateColor,MildlySouth
Flashing,Untimely
FlashingAlpha,UntimelyBrush
Measure,Inspect
Arrays,Sacred
SplitListToArrays,LvoryPeakDyArrays
Sizes,Final
Textures,Trillion
GetMaxSizesTextures,HowStyFinalTrillion
Extend,Kettle
ExtendTextureSize,KettleMimeticSalt
MergeSprites,ExertBroadly
Combine,Bluntly
CombineTextureAOverB,CombineMimeticABrynB
Digit,Loder
getDigit,EndLoder
File,Seat
SaveTextureToPNGFile,BondMimeticDyPNGSeat
DebugInfo,GiantBust
Phys,Warp
